"ID(s) interactor A"	"ID(s) interactor B"	"Alt. ID(s) interactor A"	"Alt. ID(s) interactor B"	"Alias(es) interactor A"	"Alias(es) interactor B"	"Interaction detection method(s)"	"Publication 1st author(s)"	"Publication Identifier(s)"	"Taxid interactor A"	"Taxid interactor B"	"Interaction type(s)"	"Source database(s)"	"Interaction identifier(s)"	"Confidence value(s)"	"Experimental role(s) interactor A"	"Experimental role(s) interactor B"	"Properties interactor A"	"Properties interactor B"	"HostOrganism(s)"
uniprotkb:O43463	uniprotkb:Q6P1J9	uniprotkb:SUV39H1(gene name)	uniprotkb:CDC73(gene name)	-	-	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	-	pubmed:21726809|pubmed:21726809	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	(biogrid)|(biogrid)	BIOGRID_189046|BIOGRID_189048	-	prey|bait	bait|prey	go:GO:0007049|go:GO:0030154|go:GO:0003682|go:GO:0000183|go:GO:0005677|go:GO:0000775|go:GO:0000794|go:GO:0046974|go:GO:0033553|go:GO:0006364|go:GO:0006351|go:GO:0019048|go:GO:0008270	go:GO:0016593|go:GO:0016055|go:GO:0007049|go:GO:0071222|go:GO:0001711|go:GO:0033523|go:GO:0010390|go:GO:0006378|go:GO:2000134|go:GO:0045749|go:GO:0050680|go:GO:0048147|go:GO:0045638|go:GO:0000122|go:GO:0030177|go:GO:0031442|go:GO:0032968|go:GO:0045944|go:GO:0031648|go:GO:0019827|go:GO:0006351	unspecified:32644|unspecified:32644
uniprotkb:O95140	uniprotkb:P45984	uniprotkb:MFN2(gene name)	uniprotkb:MAPK9(gene name)	-	-	MI:0004(affinity chromatography technology)	-	pubmed:22748923	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_190190	-	prey	bait	go:GO:0005525|go:GO:0003924|go:GO:0001825|go:GO:0007596|go:GO:0048593|go:GO:0005829|go:GO:0016021|go:GO:0031306|go:GO:0015630|go:GO:0008053|go:GO:0007006|go:GO:0051646|go:GO:0046580|go:GO:0048662|go:GO:0006626	go:GO:0005524|go:GO:0004705|go:GO:0002755|go:GO:0035666|go:GO:0008063|go:GO:0005829|go:GO:0031558|go:GO:0045087|go:GO:0005739|go:GO:0005654|go:GO:0010628|go:GO:0010744|go:GO:0051090|go:GO:0046686|go:GO:0034130|go:GO:0034134|go:GO:0034138|go:GO:0034142	unspecified:32644
uniprotkb:P55285	uniprotkb:Q9ULB4	uniprotkb:CDH6(gene name)	uniprotkb:CDH9(gene name)	-	-	MI:0493(in vivo)	-	pubmed:10861224	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	HPRD_11879	-	-	-	go:GO:0034332|go:GO:0005509|go:GO:0007155|go:GO:0034329|go:GO:0005737|go:GO:0007156|go:GO:0016021|go:GO:0005634|go:GO:0005886	go:GO:0034332|go:GO:0005509|go:GO:0034329|go:GO:0007156|go:GO:0016021|go:GO:0005886	-
uniprotkb:P55285	uniprotkb:Q9ULB5	uniprotkb:CDH6(gene name)	uniprotkb:CDH7(gene name)	-	-	MI:0493(in vivo)	-	pubmed:10861224	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	HPRD_11878	-	-	-	go:GO:0034332|go:GO:0005509|go:GO:0007155|go:GO:0034329|go:GO:0005737|go:GO:0007156|go:GO:0016021|go:GO:0005634|go:GO:0005886	go:GO:0034332|go:GO:0005509|go:GO:0034329|go:GO:0007156|go:GO:0016021|go:GO:0005886	-
uniprotkb:P35240	uniprotkb:Q92574	uniprotkb:NF2(gene name)	uniprotkb:TSC1(gene name)	-	-	MI:0493(in vivo)	-	pubmed:12226091	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	HPRD_13635	-	-	-	go:GO:0014010|go:GO:0030036|go:GO:0005912|go:GO:0045216|go:GO:0032154|go:GO:0030864|go:GO:0005856|go:GO:0005769|go:GO:0007398|go:GO:0019898|go:GO:0031527|go:GO:0030027|go:GO:0070306|go:GO:0001707|go:GO:0008156|go:GO:0043409|go:GO:0030336|go:GO:0008285|go:GO:0022408|go:GO:0001953|go:GO:0006469|go:GO:0042518|go:GO:0042524|go:GO:0005730|go:GO:0042475|go:GO:0048471|go:GO:0005886|go:GO:0051496|go:GO:0035330|go:GO:0032587	go:GO:0030695|go:GO:0033596|go:GO:0032862|go:GO:0055007|go:GO:0005938|go:GO:0007050|go:GO:0030030|go:GO:0007160|go:GO:0021987|go:GO:0044430|go:GO:0030426|go:GO:0021766|go:GO:0008286|go:GO:0001822|go:GO:0030027|go:GO:0016020|go:GO:0042552|go:GO:0032007|go:GO:0008285|go:GO:0045792|go:GO:0017148|go:GO:0001843|go:GO:0051894|go:GO:0006813|go:GO:0051291|go:GO:0050821|go:GO:0006407|go:GO:0043666|go:GO:0045859|go:GO:0051492|go:GO:0050808	-
uniprotkb:P60520	uniprotkb:Q14145	uniprotkb:GABARAPL2(gene name)	uniprotkb:KEAP1(gene name)	-	-	MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:20562859|pubmed:20562859	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0914(association)	(biogrid)|MI:0469(intact)	BIOGRID_118158|IntAct_132923	-	bait|bait	prey|prey	go:GO:0000139|go:GO:0000421|go:GO:0006914|go:GO:0031410|go:GO:0005829|go:GO:0006891|go:GO:0032781|go:GO:0015031	go:GO:0005913|go:GO:0005813|go:GO:0042994|go:GO:0005783|go:GO:0005925|go:GO:0001701|go:GO:0030496|go:GO:0010629|go:GO:0005634|go:GO:0045604|go:GO:0006355|go:GO:0006351	unspecified:32644|human-293t:9606
uniprotkb:Q06323	uniprotkb:Q9HAW4	uniprotkb:PSME1(gene name)	uniprotkb:CLSPN(gene name)	-	-	MI:0004(affinity chromatography technology)	-	pubmed:18451105	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_109963	-	prey	bait	go:GO:0006977|go:GO:0000082|go:GO:0000216|go:GO:0000084|go:GO:0031145|go:GO:0002479|go:GO:0006915|go:GO:0005829|go:GO:0010467|go:GO:0016071|go:GO:0051436|go:GO:0005654|go:GO:0051437|go:GO:0008537|go:GO:0000502|go:GO:0000209|go:GO:0042981|go:GO:0006521|go:GO:0044281|go:GO:0016032	go:GO:0003677|go:GO:0006281|go:GO:0006260|go:GO:0031572|go:GO:0032147|go:GO:0007049|go:GO:0006921|go:GO:0033314|go:GO:0005654|go:GO:0018105	unspecified:32644
uniprotkb:O60437	uniprotkb:Q9UMD9	uniprotkb:PPL(gene name)	uniprotkb:COL17A1(gene name)	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:9521878|pubmed:9521878	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-|MI:0407(direct interaction)	MI:0468(hprd)|(biogrid)	HPRD_9840|BIOGRID_109369	-	-|prey	-|bait	go:GO:0005856|go:GO:0030057|go:GO:0031424|go:GO:0005739|go:GO:0005634|go:GO:0005886|go:GO:0005200	go:GO:0005604|go:GO:0005911|go:GO:0007160|go:GO:0005581|go:GO:0005788|go:GO:0008544|go:GO:0030198|go:GO:0030056|go:GO:0031581|go:GO:0005887	-|unspecified:32644
uniprotkb:P25054	uniprotkb:P52272	uniprotkb:APC(gene name)	uniprotkb:HNRNPM(gene name)	-	-	MI:0018(two hybrid)	-	pubmed:20936779	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	(biogrid)	BIOGRID_119630	-	bait	prey	go:GO:0034742|go:GO:0034747|go:GO:0033077|go:GO:0005912|go:GO:0009952|go:GO:0009798|go:GO:0044295|go:GO:0007409|go:GO:0030877|go:GO:0060070|go:GO:0007155|go:GO:0007050|go:GO:0016477|go:GO:0006921|go:GO:0005813|go:GO:0051276|go:GO:0000281|go:GO:0005881|go:GO:0031122|go:GO:0005829|go:GO:0009953|go:GO:0007163|go:GO:0001942|go:GO:0001822|go:GO:0000776|go:GO:0030027|go:GO:0016328|go:GO:0035371|go:GO:0007094|go:GO:0007091|go:GO:0046716|go:GO:0043409|go:GO:0043066|go:GO:0090090|go:GO:0008285|go:GO:0045736|go:GO:0060770|go:GO:0007026|go:GO:0042483|go:GO:0043025|go:GO:0005634|go:GO:0031016|go:GO:0043065|go:GO:0045785|go:GO:0051781|go:GO:0030335|go:GO:0030858|go:GO:0031116|go:GO:0045732|go:GO:0031274|go:GO:0006461|go:GO:0019887|go:GO:0009954|go:GO:0051988|go:GO:0051171|go:GO:0045667|go:GO:0045670|go:GO:0006974|go:GO:0042493|go:GO:0060041|go:GO:0032587|go:GO:0043588|go:GO:0035019|go:GO:0045202|go:GO:0048538|go:GO:0005923|go:GO:0070830	go:GO:0003723|go:GO:0000380|go:GO:0071013|go:GO:0005887|go:GO:0016363|go:GO:0000166|go:GO:0042382	unspecified:32644
uniprotkb:Q12933	uniprotkb:Q9UKE5	uniprotkb:TRAF2(gene name)	uniprotkb:TNIK(gene name)	-	-	MI:0493(in vivo)|MI:0004(affinity chromatography technology)	-	pubmed:10521462|pubmed:10521462	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-|MI:0915(physical association)	MI:0468(hprd)|(biogrid)	HPRD_10011|BIOGRID_90103	-	-|prey	-|bait	go:GO:0035631|go:GO:0007250|go:GO:0006919|go:GO:0008633|go:GO:0005938|go:GO:0043623|go:GO:0005829|go:GO:0008624|go:GO:0045087|go:GO:0009898|go:GO:0045121|go:GO:0034351|go:GO:0043507|go:GO:0051092|go:GO:0050870|go:GO:0002726|go:GO:2001238|go:GO:0032743|go:GO:0090073|go:GO:0070534|go:GO:0051865|go:GO:0030163|go:GO:0070207|go:GO:0051023|go:GO:0004871|go:GO:0046625|go:GO:0033209|go:GO:0004842|go:GO:0008270	go:GO:0005524|go:GO:0016055|go:GO:0031532|go:GO:0007256|go:GO:0005737|go:GO:0005856|go:GO:0005634|go:GO:0046777|go:GO:0004674|go:GO:0055037|go:GO:0048814|go:GO:0005083	-|unspecified:32644
uniprotkb:Q12933	uniprotkb:Q9UKG1	uniprotkb:TRAF2(gene name)	uniprotkb:APPL1(gene name)	-	-	MI:0018(two hybrid)|MI:0398(two hybrid pooling approach)|MI:0398(two hybrid pooling approach)|MI:0018(two hybrid)	-	pubmed:16189514|pubmed:16189514|pubmed:16189514|pubmed:16189514	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|-	(biogrid)|MI:0469(intact)|MI:0469(intact)|MI:0468(hprd)	BIOGRID_72468|IntAct_104431|IntAct_106431|HPRD_21826	-	bait|unspecified role|unspecified role|-	prey|unspecified role|unspecified role|-	go:GO:0035631|go:GO:0007250|go:GO:0006919|go:GO:0008633|go:GO:0005938|go:GO:0043623|go:GO:0005829|go:GO:0008624|go:GO:0045087|go:GO:0009898|go:GO:0045121|go:GO:0034351|go:GO:0043507|go:GO:0051092|go:GO:0050870|go:GO:0002726|go:GO:2001238|go:GO:0032743|go:GO:0090073|go:GO:0070534|go:GO:0051865|go:GO:0030163|go:GO:0070207|go:GO:0051023|go:GO:0004871|go:GO:0046625|go:GO:0033209|go:GO:0004842|go:GO:0008270	go:GO:0006915|go:GO:0007049|go:GO:0008283|go:GO:0005829|go:GO:0031901|go:GO:0010008|go:GO:0008286|go:GO:0005634|go:GO:0005543|go:GO:0042981|go:GO:0090003|go:GO:0046324|go:GO:0012506	unspecified:32644|yeasx:4932|yeasx:4932|-
uniprotkb:Q13616	uniprotkb:Q16629	uniprotkb:CUL1(gene name)	uniprotkb:SRSF7(gene name)	-	-	MI:0004(affinity chromatography technology)	-	pubmed:21145461	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_199408	-	bait	prey	go:GO:0000080|go:GO:0000082|go:GO:0007219|go:GO:0000084|go:GO:0019005|go:GO:0031146|go:GO:0031145|go:GO:0007050|go:GO:0008283|go:GO:0005829|go:GO:0097193|go:GO:0008285|go:GO:0005654|go:GO:0009887|go:GO:0051437|go:GO:0006513|go:GO:0016567|go:GO:0019048	go:GO:0003723|go:GO:0031124|go:GO:0006406|go:GO:0000398|go:GO:0048025|go:GO:0005654|go:GO:0000166|go:GO:0006369|go:GO:0008270	unspecified:32644
uniprotkb:P04049	uniprotkb:P10114	uniprotkb:RAF1(gene name)	uniprotkb:RAP2A(gene name)	-	-	MI:0493(in vivo)	-	pubmed:9523700	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	HPRD_38887	-	-	-	go:GO:0005524|go:GO:0004709|go:GO:0000165|go:GO:0007265|go:GO:0000186|go:GO:0007190|go:GO:0007411|go:GO:0008283|go:GO:0007010|go:GO:0005829|go:GO:0007173|go:GO:0008543|go:GO:0007507|go:GO:0008286|go:GO:0046872|go:GO:0005741|go:GO:0043066|go:GO:0008285|go:GO:0043154|go:GO:0031333|go:GO:0048011|go:GO:0005634|go:GO:0005886|go:GO:0030168|go:GO:0033138|go:GO:0004674|go:GO:0031143|go:GO:0035023|go:GO:0045595|go:GO:2000145|go:GO:0001666|go:GO:0007268	go:GO:0005525|go:GO:0003924|go:GO:0032486|go:GO:0031532|go:GO:0034613|go:GO:0005829|go:GO:0045184|go:GO:0030336|go:GO:0031954|go:GO:0055038|go:GO:0046328|go:GO:0048814	-
uniprotkb:Q15717	uniprotkb:Q7Z628	uniprotkb:ELAVL1(gene name)	uniprotkb:NET1(gene name)	-	-	MI:0096(pull down)	-	pubmed:19322201	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_182157	-	bait	prey	go:GO:0070935|go:GO:0017091|go:GO:0005829|go:GO:0010467|go:GO:0003729|go:GO:0016071|go:GO:0007275|go:GO:0005654|go:GO:0000166|go:GO:0045727	go:GO:0005089|go:GO:0006915|go:GO:0070301|go:GO:0071479|go:GO:0005829|go:GO:0005085|go:GO:0008624|go:GO:0048011|go:GO:0005634|go:GO:0005543|go:GO:0032321|go:GO:0001558|go:GO:0007264	unspecified:32644
uniprotkb:P01034	uniprotkb:P07711	uniprotkb:CST3(gene name)	uniprotkb:CTSL1(gene name)	-	-	MI:0493(in vivo)|MI:0492(in vitro)	-	pubmed:15174051|pubmed:10428479	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-|-	MI:0468(hprd)|MI:0468(hprd)	HPRD_39998|HPRD_16319	-	-|-	-|-	go:GO:0001540|go:GO:0004869|go:GO:0006952|go:GO:0005615|go:GO:0043206|go:GO:0060313|go:GO:0010711|go:GO:0060311|go:GO:0010716|go:GO:0010703	go:GO:0002250|go:GO:0019886|go:GO:0097067|go:GO:0004197|go:GO:0036021|go:GO:0005576|go:GO:0045087|go:GO:0071888|go:GO:0005634|go:GO:0006508	-|-
uniprotkb:P08631	uniprotkb:Q9P0K1	uniprotkb:HCK(gene name)	uniprotkb:ADAM22(gene name)	-	-	MI:0077(nuclear magnetic resonance)|MI:0077(nuclear magnetic resonance)	-	pubmed:10.1016/j.jmb.2006.11.013|pubmed:10.1016/j.jmb.2006.11.013	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0471(mint)|MI:0471(mint)	MINT_70964|MINT_41372	-	bait|bait	null|null	go:GO:0005524|go:GO:0005794|go:GO:0005901|go:GO:0007155|go:GO:0042995|go:GO:0005856|go:GO:0005829|go:GO:0050830|go:GO:0031234|go:GO:0005925|go:GO:0006954|go:GO:0002758|go:GO:0007229|go:GO:0060333|go:GO:0043299|go:GO:0002522|go:GO:0031663|go:GO:0005764|go:GO:0007498|go:GO:0043066|go:GO:0004715|go:GO:0005634|go:GO:0018108|go:GO:0006909|go:GO:2000251|go:GO:0030838|go:GO:0008284|go:GO:0046777|go:GO:0004713|go:GO:0008360|go:GO:0050690|go:GO:0050727|go:GO:0050764|go:GO:0071801|go:GO:0051090|go:GO:0045728|go:GO:0030133|go:GO:0016032|go:GO:0019048	go:GO:0007155|go:GO:0007417|go:GO:0016021|go:GO:0004222|go:GO:0007162|go:GO:0006508|go:GO:0008270	in vitro:-1|in vitro:-1
uniprotkb:O15042	uniprotkb:P61956	uniprotkb:U2SURP(gene name)	uniprotkb:SUMO2(gene name)	-	-	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	-	pubmed:21693764|pubmed:19471022	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	(biogrid)|(biogrid)	BIOGRID_159850|BIOGRID_177731	-	prey|prey	bait|bait	go:GO:0003723|go:GO:0006396|go:GO:0000166|go:GO:0005634	go:GO:0005634|go:GO:0032436|go:GO:0016925	unspecified:32644|unspecified:32644
uniprotkb:P23760	uniprotkb:Q9GZV5	uniprotkb:PAX3(gene name)	uniprotkb:WWTR1(gene name)	-	-	MI:0493(in vivo)	-	pubmed:16300735	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	HPRD_27665	-	-	-	go:GO:0006915|go:GO:0005634|go:GO:0009887|go:GO:0045944|go:GO:0007605|go:GO:0043565|go:GO:0003700|go:GO:0006366	go:GO:0060271|go:GO:0005829|go:GO:0032835|go:GO:0035329|go:GO:0090090|go:GO:0035414|go:GO:0045599|go:GO:0006469|go:GO:0000122|go:GO:0005654|go:GO:0001649|go:GO:0008284|go:GO:0010718|go:GO:0045944|go:GO:0060390|go:GO:0017145|go:GO:0003713|go:GO:0003714|go:GO:0005667|go:GO:0006367|go:GO:0007179	-
uniprotkb:Q06323	uniprotkb:Q9HB75	uniprotkb:PSME1(gene name)	uniprotkb:PIDD(gene name)	-	-	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	-	pubmed:21415862|pubmed:21415862|pubmed:21415862	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	(biogrid)|(biogrid)|(biogrid)	BIOGRID_156094|BIOGRID_156091|BIOGRID_156071	-	bait|prey|prey	prey|bait|bait	go:GO:0006977|go:GO:0000082|go:GO:0000216|go:GO:0000084|go:GO:0031145|go:GO:0002479|go:GO:0006915|go:GO:0005829|go:GO:0010467|go:GO:0016071|go:GO:0051436|go:GO:0005654|go:GO:0051437|go:GO:0008537|go:GO:0000502|go:GO:0000209|go:GO:0042981|go:GO:0006521|go:GO:0044281|go:GO:0016032	go:GO:0006977|go:GO:0006915|go:GO:0005737|go:GO:0043066|go:GO:0005634	unspecified:32644|unspecified:32644|unspecified:32644
uniprotkb:P14921	uniprotkb:Q13164	uniprotkb:ETS1(gene name)	uniprotkb:MAPK7(gene name)	-	-	MI:0492(in vitro)	-	pubmed:11948414	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	HPRD_38753	-	-	-	go:GO:0003677|go:GO:0030578|go:GO:0060055|go:GO:0006916|go:GO:0048870|go:GO:0070301|go:GO:0060206|go:GO:0007565|go:GO:0021854|go:GO:0006955|go:GO:0006917|go:GO:0045786|go:GO:0008285|go:GO:0005634|go:GO:0021983|go:GO:0045766|go:GO:0030335|go:GO:0008284|go:GO:0051272|go:GO:0045648|go:GO:0045944|go:GO:0045893|go:GO:0010715|go:GO:0046677|go:GO:0032355|go:GO:0001666|go:GO:0070555|go:GO:0034616|go:GO:0009612|go:GO:0043565|go:GO:0003700|go:GO:0005667|go:GO:0006366|go:GO:0006351	go:GO:0005524|go:GO:0070375|go:GO:0004707|go:GO:0002755|go:GO:0035666|go:GO:0008063|go:GO:0006915|go:GO:0007049|go:GO:0030154|go:GO:0071499|go:GO:0071560|go:GO:0005829|go:GO:0045087|go:GO:0051534|go:GO:0043066|go:GO:0034115|go:GO:0050728|go:GO:0060761|go:GO:0048011|go:GO:0005654|go:GO:0018105|go:GO:0051247|go:GO:0045944|go:GO:0046777|go:GO:0045765|go:GO:0051403|go:GO:0034130|go:GO:0034134|go:GO:0034138|go:GO:0034142	-
uniprotkb:O15530	uniprotkb:P35568	uniprotkb:PDPK1(gene name)	uniprotkb:IRS1(gene name)	-	-	MI:0493(in vivo)	-	pubmed:15802620	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	HPRD_24117	-	-	-	go:GO:0004676|go:GO:0005524|go:GO:0031295|go:GO:0050852|go:GO:0030036|go:GO:0032148|go:GO:0016023|go:GO:0005829|go:GO:0007173|go:GO:0008543|go:GO:0005925|go:GO:0048041|go:GO:0006972|go:GO:0008286|go:GO:0010667|go:GO:0006469|go:GO:0034122|go:GO:0030512|go:GO:0048011|go:GO:0005654|go:GO:0018107|go:GO:0048015|go:GO:0005886|go:GO:0030168|go:GO:0090004|go:GO:0046777|go:GO:0043122|go:GO:0042981|go:GO:0010594|go:GO:0043304|go:GO:0006355|go:GO:0007268|go:GO:0006351|go:GO:0003323	go:GO:0060397|go:GO:0005901|go:GO:0005829|go:GO:0042593|go:GO:0005899|go:GO:0008286|go:GO:0048009|go:GO:0005010|go:GO:0016042|go:GO:0030879|go:GO:0046627|go:GO:0046676|go:GO:0090275|go:GO:0048011|go:GO:0005634|go:GO:0014065|go:GO:0005543|go:GO:0030335|go:GO:0008284|go:GO:0032000|go:GO:0070094|go:GO:2001275|go:GO:0045725|go:GO:0046628|go:GO:0002053|go:GO:0043552|go:GO:0042327|go:GO:0051291|go:GO:0043491|go:GO:0034504|go:GO:0010468|go:GO:0004871	-
uniprotkb:Q96B97	uniprotkb:Q9NVA2	uniprotkb:SH3KBP1(gene name)	uniprotkb:SEPT11(gene name)	-	-	MI:0004(affinity chromatography technology)	-	pubmed:19531213	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_185460	-	bait	prey	go:GO:0006915|go:GO:0016477|go:GO:0007267|go:GO:0030659|go:GO:0005856|go:GO:0007010|go:GO:0005829|go:GO:0006897|go:GO:0007173|go:GO:0005925|go:GO:0042059|go:GO:0043005|go:GO:0005886|go:GO:0008360|go:GO:0045202	go:GO:0005525|go:GO:0030424|go:GO:0007049|go:GO:0051301|go:GO:0030054|go:GO:0005737|go:GO:0043197|go:GO:0051291|go:GO:0031105|go:GO:0001725|go:GO:0045202	unspecified:32644
uniprotkb:Q8IWV8	uniprotkb:Q9UNN5	uniprotkb:UBR2(gene name)	uniprotkb:FAF1(gene name)	-	-	MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18775313|pubmed:18775313|pubmed:18775313|pubmed:18775313|pubmed:18775313|pubmed:18775313|pubmed:18775313|pubmed:18775313|pubmed:18775313	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0914(association)|MI:0914(association)|MI:0914(association)|MI:0914(association)|MI:0914(association)|MI:0914(association)|MI:0914(association)|MI:0914(association)	(biogrid)|MI:0469(intact)|MI:0469(intact)|MI:0469(intact)|MI:0469(intact)|MI:0469(intact)|MI:0469(intact)|MI:0469(intact)|MI:0469(intact)	BIOGRID_142705|IntAct_67399|IntAct_71050|IntAct_69397|IntAct_139877|IntAct_67405|IntAct_139883|IntAct_71056|IntAct_69403	-	prey|prey|prey|prey|prey|prey|prey|prey|prey	bait|bait|bait|bait|bait|bait|bait|bait|bait	go:GO:0071233|go:GO:0000785|go:GO:0006342|go:GO:0033522|go:GO:0070728|go:GO:0007141|go:GO:0032007|go:GO:0005634|go:GO:0005886|go:GO:0007283|go:GO:0000151|go:GO:0006511|go:GO:0004842|go:GO:0008270	go:GO:0031265|go:GO:0034098|go:GO:0006915|go:GO:0008219|go:GO:0005737|go:GO:0007253|go:GO:0005829|go:GO:0005635|go:GO:0005634|go:GO:0048471|go:GO:0043065|go:GO:0031334|go:GO:0043161|go:GO:0019887|go:GO:0030155|go:GO:0042176	unspecified:32644|human-293:9606|human-293:9606|human-293:9606|human-293:9606|human-293:9606|human-293:9606|human-293:9606|human-293:9606
uniprotkb:Q9H2M9	uniprotkb:Q9H2X6	uniprotkb:RAB3GAP2(gene name)	uniprotkb:HIPK2(gene name)	-	-	MI:0096(pull down)|MI:0096(pull down)	-	pubmed:11740489|pubmed:11740489	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	(biogrid)|(biogrid)	BIOGRID_85395|BIOGRID_85394	-	bait|prey	prey|bait	go:GO:0005096|go:GO:0005737|go:GO:0006886|go:GO:0005886|go:GO:0043087	go:GO:0005524|go:GO:0006978|go:GO:0016605|go:GO:0030578|go:GO:0060395|go:GO:0071456|go:GO:0005813|go:GO:0030218|go:GO:0001654|go:GO:0042771|go:GO:0030514|go:GO:0016604|go:GO:0031965|go:GO:0018105|go:GO:0018107|go:GO:0046330|go:GO:0045766|go:GO:0032092|go:GO:0051091|go:GO:0045944|go:GO:0030511|go:GO:0004674|go:GO:0051726|go:GO:0003714|go:GO:0006351|go:GO:0046790|go:GO:0019048	unspecified:32644|unspecified:32644
uniprotkb:P09651	uniprotkb:Q9UMS4	uniprotkb:HNRNPA1(gene name)	uniprotkb:PRPF19(gene name)	-	-	MI:0004(affinity chromatography technology)	-	pubmed:22446626	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_184872	-	bait	prey	go:GO:0006405|go:GO:0071013|go:GO:0005737|go:GO:0045111|go:GO:0000398|go:GO:0051028|go:GO:0051170|go:GO:0005730|go:GO:0005654|go:GO:0000166|go:GO:0003697|go:GO:0003727|go:GO:0019048	go:GO:0003677|go:GO:0006281|go:GO:0000974|go:GO:0071013|go:GO:0005737|go:GO:0016607|go:GO:0000209|go:GO:0005819|go:GO:0000245|go:GO:0000151|go:GO:0034450	unspecified:32644
uniprotkb:P08172	uniprotkb:Q96D09	uniprotkb:CHRM2(gene name)	uniprotkb:GPRASP2(gene name)	-	-	MI:0096(pull down)|MI:0492(in vitro)|MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)	-	pubmed:15086532|pubmed:15086532|pubmed:15086532|pubmed:15086532|pubmed:15086532	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|-|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0469(intact)|MI:0468(hprd)|MI:0469(intact)|MI:0469(intact)|MI:0469(intact)	IntAct_66652|HPRD_35296|IntAct_68650|IntAct_149907|IntAct_70303	-	bait|-|bait|bait|bait	prey|-|prey|prey|prey	go:GO:0016907|go:GO:0007188|go:GO:0032279|go:GO:0043679|go:GO:0030054|go:GO:0030425|go:GO:0008144|go:GO:0005887|go:GO:0007399|go:GO:0043025|go:GO:0007207|go:GO:0045211|go:GO:0008016|go:GO:0006940|go:GO:0009615|go:GO:0032280	go:GO:0001540|go:GO:0005737	in vitro:-1|-|in vitro:-1|in vitro:-1|in vitro:-1
